fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2769.0,200310.0,6.6062,7.536,7.9555,10.4712,7.5395,7.0177,9.6263,3.73,2.1
2769.0,200311.0,0.6149,2.4839,3.8569,5.3955,2.3541,2.6324,3.976,1.62,-1.5
2769.0,200312.0,3.291,2.1734,2.8454,4.9927,2.3284,4.4251,5.6178,-5.71,1.74
2770.0,200008.0,7.4317,7.7102,4.6923,4.7951,10.9445,7.3994,7.1347,5.71,0.46
2770.0,200009.0,-1.6409,-8.8858,-1.8263,-1.8723,-6.1229,0.1208,-0.6104,2.18,2.49
2770.0,200010.0,1.0468,-10.8487,-3.9436,-5.5856,-5.3606,0.6695,0.6243,-4.63,-4.78
2770.0,200011.0,-6.1509,-21.3223,-7.8815,-6.9662,-16.4442,-1.4918,-1.2806,-2.41,-14.61
2770.0,200012.0,0.1215,-8.4715,0.1656,-0.6089,2.8232,10.3134,13.954,6.7,-6.6
2770.0,200101.0,0.6952,43.9889,21.5762,20.102,15.3216,2.1535,4.5507,-25.06,16.21
2770.0,200102.0,-7.9785,-14.684,-3.2647,-0.6369,-16.1367,-0.7728,1.2034,12.51,12.22
2770.0,200103.0,-7.2947,-11.7902,-3.0353,-2.9495,-12.2313,-3.3908,-2.4861,8.35,-7.65
2770.0,200104.0,8.2734,11.4306,4.5794,3.0459,14.8291,7.3559,5.9413,-7.97,9.87
2770.0,200105.0,-0.0831,7.5188,7.3479,9.0744,2.3658,3.0852,3.0346,2.12,3.63
2770.0,200106.0,-2.2028,1.6936,3.5947,1.8391,-0.1552,-1.5537,-0.9601,0.35,0.5
2770.0,200107.0,-1.1475,-8.01,-3.3206,-0.7438,-4.2037,-0.7335,-0.8442,5.47,1.28
2770.0,200108.0,-7.6526,-7.4087,-3.0609,-1.962,-7.0658,-2.7453,-5.5504,5.54,-3.92
2770.0,200109.0,-9.7765,-17.818,-12.363,-11.4833,-14.3973,-11.6815,-14.9233,11.53,-4.91
2770.0,200110.0,5.5212,14.2901,7.6909,5.5391,10.5328,4.3531,3.0095,-8.41,14.8
2770.0,200111.0,9.3888,9.9647,7.8462,6.9859,11.1516,7.9855,11.2047,-8.58,-3.14
2770.0,200112.0,0.7989,8.9428,6.874,5.9272,3.7679,5.4122,4.1906,-0.02,1.72
2770.0,200201.0,2.2667,-3.573,2.2058,6.4108,-2.6502,-0.6548,-0.6218,3.69,1.54
2770.0,200202.0,-3.216,-9.3394,-3.0341,-2.1507,-4.507,-0.1973,-2.0332,6.76,-0.09
2770.0,200203.0,2.0207,8.3422,8.2428,8.6284,7.7757,7.0739,7.5482,-1.67,2.83
2770.0,200204.0,-5.4577,-6.5257,1.2483,4.1028,-5.1407,-1.8905,-3.6216,7.96,2.06
2770.0,200205.0,-1.1639,-8.366,-2.413,0.5951,-3.1928,-1.7767,-2.5599,2.97,-2.68
2770.0,200206.0,-7.1126,-11.1503,-5.4064,-4.5569,-10.8327,-6.7227,-9.2308,6.15,-3.37
2770.0,200207.0,-5.071,-14.9955,-13.0708,-10.6101,-8.7553,-9.3483,-13.9265,3.34,1.5
2770.0,200208.0,2.5107,-0.3433,0.5034,0.1741,-0.1817,1.5333,3.8511,1.77,1.38
2770.0,200209.0,-11.4643,-10.3306,-8.1177,-7.707,-9.1383,-10.2448,-13.4468,9.09,-1.85
2770.0,200210.0,9.8882,8.1278,4.7127,2.7193,7.7286,4.7328,1.6834,-5.3,7.52
2770.0,200211.0,3.4815,17.836,13.0131,11.3655,8.4674,8.747,11.3946,-16.17,0.21
2770.0,200212.0,-5.7971,-9.377,-4.2131,-3.4785,-6.0359,-3.4005,-3.3266,9.65,10.58
2770.0,200301.0,-3.4615,0.7713,-0.9994,1.7603,-2.1546,-2.5146,-4.1786,1.62,0.2
2770.0,200302.0,-2.5043,-4.2469,-2.3127,-1.7815,-1.8914,-2.3642,-4.6786,1.25,-0.78
2770.0,200303.0,0.9924,2.3612,0.2923,0.8288,1.4976,0.7773,-0.6673,1.61,-0.22
2770.0,200304.0,7.2254,13.036,9.8681,8.659,8.6042,9.4849,12.2649,-9.46,3.09
2770.0,200305.0,3.6658,20.8667,13.9537,12.6666,9.241,9.2564,9.6454,-10.77,-1.44
2770.0,200306.0,-0.26,6.5125,4.3723,6.4423,1.3868,0.5022,2.1254,-1.06,-0.06
2770.0,200307.0,3.4932,8.7107,7.613,8.6201,3.6666,2.6144,3.1987,-0.31,2.47
2770.0,200308.0,3.1738,4.5268,4.6228,6.2789,4.1622,3.6024,6.7925,-0.56,-1.45
2770.0,200309.0,-2.3438,2.3582,0.7426,5.4146,-1.8693,-0.9557,-1.1508,-0.19,4.52
2770.0,200310.0,6.65,7.536,7.9555,10.4712,7.5395,7.0177,9.6263,3.73,2.1
2770.0,200311.0,0.6564,2.4839,3.8569,5.3955,2.3541,2.6324,3.976,1.62,-1.5
2770.0,200312.0,3.3535,2.1734,2.8454,4.9927,2.3284,4.4251,5.6178,-5.71,1.74
2772.0,200301.0,-3.4864,0.7713,-0.9994,1.7603,-2.1546,-2.5146,-4.1786,1.62,0.2
2772.0,200302.0,-2.5803,-4.2469,-2.3127,-1.7815,-1.8914,-2.3642,-4.6786,1.25,-0.78
2772.0,200303.0,0.9417,2.3612,0.2923,0.8288,1.4976,0.7773,-0.6673,1.61,-0.22
2772.0,200304.0,7.2303,13.036,9.8681,8.659,8.6042,9.4849,12.2649,-9.46,3.09
2772.0,200305.0,3.5889,20.8667,13.9537,12.6666,9.241,9.2564,9.6454,-10.77,-1.44
2772.0,200306.0,-0.2625,6.5125,4.3723,6.4423,1.3868,0.5022,2.1254,-1.06,-0.06
2772.0,200307.0,3.3684,8.7107,7.613,8.6201,3.6666,2.6144,3.1987,-0.31,2.47
2772.0,200308.0,3.2077,4.5268,4.6228,6.2789,4.1622,3.6024,6.7925,-0.56,-1.45
2772.0,200309.0,-2.4174,2.3582,0.7426,5.4146,-1.8693,-0.9557,-1.1508,-0.19,4.52
2772.0,200310.0,6.6229,7.536,7.9555,10.4712,7.5395,7.0177,9.6263,3.73,2.1
2772.0,200311.0,0.6164,2.4839,3.8569,5.3955,2.3541,2.6324,3.976,1.62,-1.5
2772.0,200312.0,3.2516,2.1734,2.8454,4.9927,2.3284,4.4251,5.6178,-5.71,1.74
2776.0,199901.0,5.8704,10.7277,6.1625,8.6679,1.3107,-2.126,-2.1505,3.04,-2.3
2776.0,199902.0,-3.2983,-7.0658,-5.1109,-4.2249,-4.996,-2.7635,-3.1612,-0.16,2.34
2776.0,199903.0,4.5367,-2.58,-1.6972,-3.2963,2.399,3.1173,1.1557,-1.29,0.23
2776.0,199904.0,4.3602,7.1198,9.538,9.7093,7.32,10.3633,9.3549,-9.06,2.44
2776.0,199905.0,-2.3615,4.0518,4.1057,5.0657,1.6299,1.9072,2.1105,-5.28,1.11
2776.0,199906.0,6.7592,4.3535,4.1361,3.9522,5.6919,2.1143,2.3336,4.89,1.53
2776.0,199907.0,-2.8372,0.8483,1.5041,2.1261,-2.8676,-1.8332,-2.5551,1.51,1.39
2776.0,199908.0,1.3477,-4.1731,-2.826,-3.2633,-2.7616,-4.1614,-2.9321,2.92,-3.23
2776.0,199909.0,-2.659,0.0939,-1.1307,-3.5938,-0.34,-3.9612,-4.33,6.46,-0.84
2776.0,199910.0,6.4781,-0.559,-1.3614,-2.0488,5.5616,2.5456,1.8091,5.47,-1.02
2776.0,199911.0,2.9991,18.3451,9.0421,7.6667,6.6886,-1.9359,0.3523,5.62,0.17
2776.0,199912.0,7.2165,16.3782,7.1653,5.7532,9.6077,0.8211,3.4496,13.19,-13.96
2776.0,200001.0,-4.677,10.2427,4.5864,9.1153,-4.5231,-4.4975,-6.9066,1.86,2.58
2776.0,200002.0,-1.9127,24.4588,12.0355,13.8333,6.0672,-5.8884,-4.7632,18.36,-13.38
2776.0,200003.0,10.0101,-4.4137,-0.0288,-0.1295,8.5056,13.819,13.8647,-6.39,9.89
2776.0,200004.0,-4.0139,-16.9636,-6.8585,-7.0279,-3.5882,1.7858,0.481,-8.58,-1.97
2776.0,200005.0,-2.3723,-10.5732,-5.4728,-5.3272,-1.8818,1.7477,1.9792,-9.08,-8.7
2776.0,200006.0,3.6961,13.4953,7.8358,6.1428,4.4578,-3.8768,-4.3902,16.6,12.24
2776.0,200007.0,-0.7955,-7.0436,0.1569,0.7195,-5.6896,3.2367,3.4024,-0.11,6.5
2776.0,200008.0,5.9743,7.7102,4.6923,4.7951,10.9445,7.3994,7.1347,5.71,0.46
2776.0,200009.0,-8.0068,-8.8858,-1.8263,-1.8723,-6.1229,0.1208,-0.6104,2.18,2.49
2776.0,200010.0,-1.6063,-10.8487,-3.9436,-5.5856,-5.3606,0.6695,0.6243,-4.63,-4.78
2776.0,200011.0,-7.1578,-21.3223,-7.8815,-6.9662,-16.4442,-1.4918,-1.2806,-2.41,-14.61
2776.0,200012.0,-1.3105,-8.4715,0.1656,-0.6089,2.8232,10.3134,13.954,6.7,-6.6
2776.0,200101.0,4.1466,43.9889,21.5762,20.102,15.3216,2.1535,4.5507,-25.06,16.21
2776.0,200102.0,-10.8333,-14.684,-3.2647,-0.6369,-16.1367,-0.7728,1.2034,12.51,12.22
2776.0,200103.0,-7.79,-11.7902,-3.0353,-2.9495,-12.2313,-3.3908,-2.4861,8.35,-7.65
2776.0,200104.0,8.9679,11.4306,4.5794,3.0459,14.8291,7.3559,5.9413,-7.97,9.87
2776.0,200105.0,0.1553,7.5188,7.3479,9.0744,2.3658,3.0852,3.0346,2.12,3.63
2776.0,200106.0,-2.1693,1.6936,3.5947,1.8391,-0.1552,-1.5537,-0.9601,0.35,0.5
2776.0,200107.0,-1.4286,-8.01,-3.3206,-0.7438,-4.2037,-0.7335,-0.8442,5.47,1.28
2776.0,200108.0,-6.9243,-7.4087,-3.0609,-1.962,-7.0658,-2.7453,-5.5504,5.54,-3.92
2776.0,200109.0,-7.463,-17.818,-12.363,-11.4833,-14.3973,-11.6815,-14.9233,11.53,-4.91
2776.0,200110.0,2.0612,14.2901,7.6909,5.5391,10.5328,4.3531,3.0095,-8.41,14.8
2776.0,200111.0,7.2827,9.9647,7.8462,6.9859,11.1516,7.9855,11.2047,-8.58,-3.14
2776.0,200112.0,0.0018,8.9428,6.874,5.9272,3.7679,5.4122,4.1906,-0.02,1.72
2776.0,200201.0,-1.7411,-3.573,2.2058,6.4108,-2.6502,-0.6548,-0.6218,3.69,1.54
2776.0,200202.0,-1.772,-9.3394,-3.0341,-2.1507,-4.507,-0.1973,-2.0332,6.76,-0.09
2776.0,200203.0,2.712,8.3422,8.2428,8.6284,7.7757,7.0739,7.5482,-1.67,2.83
2776.0,200204.0,-7.6291,-6.5257,1.2483,4.1028,-5.1407,-1.8905,-3.6216,7.96,2.06
2776.0,200205.0,-0.5083,-8.366,-2.413,0.5951,-3.1928,-1.7767,-2.5599,2.97,-2.68
2776.0,200206.0,-6.9205,-11.1503,-5.4064,-4.5569,-10.8327,-6.7227,-9.2308,6.15,-3.37
2776.0,200207.0,-6.3096,-14.9955,-13.0708,-10.6101,-8.7553,-9.3483,-13.9265,3.34,1.5
2776.0,200208.0,0.8614,-0.3433,0.5034,0.1741,-0.1817,1.5333,3.8511,1.77,1.38
2776.0,200209.0,-11.067,-10.3306,-8.1177,-7.707,-9.1383,-10.2448,-13.4468,9.09,-1.85
2776.0,200210.0,10.0789,8.1278,4.7127,2.7193,7.7286,4.7328,1.6834,-5.3,7.52
2776.0,200211.0,5.8917,17.836,13.0131,11.3655,8.4674,8.747,11.3946,-16.17,0.21
2776.0,200212.0,-6.6397,-9.377,-4.2131,-3.4785,-6.0359,-3.4005,-3.3266,9.65,10.58
2776.0,200301.0,-2.2298,0.7713,-0.9994,1.7603,-2.1546,-2.5146,-4.1786,1.62,0.2
2776.0,200302.0,-1.4035,-4.2469,-2.3127,-1.7815,-1.8914,-2.3642,-4.6786,1.25,-0.78
2776.0,200303.0,1.0586,2.3612,0.2923,0.8288,1.4976,0.7773,-0.6673,1.61,-0.22
2776.0,200304.0,8.0389,13.036,9.8681,8.659,8.6042,9.4849,12.2649,-9.46,3.09
2776.0,200305.0,3.7612,20.8667,13.9537,12.6666,9.241,9.2564,9.6454,-10.77,-1.44
2776.0,200306.0,1.5585,6.5125,4.3723,6.4423,1.3868,0.5022,2.1254,-1.06,-0.06
2776.0,200307.0,1.8677,8.7107,7.613,8.6201,3.6666,2.6144,3.1987,-0.31,2.47
2776.0,200308.0,0.9167,4.5268,4.6228,6.2789,4.1622,3.6024,6.7925,-0.56,-1.45
2776.0,200309.0,-0.5986,2.3582,0.7426,5.4146,-1.8693,-0.9557,-1.1508,-0.19,4.52
2776.0,200310.0,4.1253,7.536,7.9555,10.4712,7.5395,7.0177,9.6263,3.73,2.1
2776.0,200311.0,0.2935,2.4839,3.8569,5.3955,2.3541,2.6324,3.976,1.62,-1.5
2776.0,200312.0,5.5906,2.1734,2.8454,4.9927,2.3284,4.4251,5.6178,-5.71,1.74
2801.0,199901.0,3.3496,10.7277,6.1625,8.6679,1.3107,-2.126,-2.1505,3.04,-2.3
2801.0,199902.0,-2.6452,-7.0658,-5.1109,-4.2249,-4.996,-2.7635,-3.1612,-0.16,2.34
2801.0,199903.0,1.769,-2.58,-1.6972,-3.2963,2.399,3.1173,1.1557,-1.29,0.23
2801.0,199904.0,10.7863,7.1198,9.538,9.7093,7.32,10.3633,9.3549,-9.06,2.44
2801.0,199905.0,-1.6499,4.0518,4.1057,5.0657,1.6299,1.9072,2.1105,-5.28,1.11
2801.0,199906.0,3.1921,4.3535,4.1361,3.9522,5.6919,2.1143,2.3336,4.89,1.53
2801.0,199907.0,-4.1703,0.8483,1.5041,2.1261,-2.8676,-1.8332,-2.5551,1.51,1.39
2801.0,199908.0,-4.0426,-4.1731,-2.826,-3.2633,-2.7616,-4.1614,-2.9321,2.92,-3.23
2801.0,199909.0,-4.2665,0.0939,-1.1307,-3.5938,-0.34,-3.9612,-4.33,6.46,-0.84
2801.0,199910.0,4.8425,-0.559,-1.3614,-2.0488,5.5616,2.5456,1.8091,5.47,-1.02
2801.0,199911.0,0.182,18.3451,9.0421,7.6667,6.6886,-1.9359,0.3523,5.62,0.17
2801.0,199912.0,4.4057,16.3782,7.1653,5.7532,9.6077,0.8211,3.4496,13.19,-13.96
2801.0,200001.0,-5.4745,10.2427,4.5864,9.1153,-4.5231,-4.4975,-6.9066,1.86,2.58
2801.0,200002.0,-5.9668,24.4588,12.0355,13.8333,6.0672,-5.8884,-4.7632,18.36,-13.38
2801.0,200003.0,11.2821,-4.4137,-0.0288,-0.1295,8.5056,13.819,13.8647,-6.39,9.89
2801.0,200004.0,-1.256,-16.9636,-6.8585,-7.0279,-3.5882,1.7858,0.481,-8.58,-1.97
2801.0,200005.0,0.3382,-10.5732,-5.4728,-5.3272,-1.8818,1.7477,1.9792,-9.08,-8.7
2801.0,200006.0,-4.4051,13.4953,7.8358,6.1428,4.4578,-3.8768,-4.3902,16.6,12.24
2801.0,200007.0,1.1031,-7.0436,0.1569,0.7195,-5.6896,3.2367,3.4024,-0.11,6.5
2801.0,200008.0,5.8229,7.7102,4.6923,4.7951,10.9445,7.3994,7.1347,5.71,0.46
2801.0,200009.0,-1.3548,-8.8858,-1.8263,-1.8723,-6.1229,0.1208,-0.6104,2.18,2.49
2801.0,200010.0,1.4069,-10.8487,-3.9436,-5.5856,-5.3606,0.6695,0.6243,-4.63,-4.78
2801.0,200011.0,-5.1143,-21.3223,-7.8815,-6.9662,-16.4442,-1.4918,-1.2806,-2.41,-14.61
2801.0,200012.0,4.3968,-8.4715,0.1656,-0.6089,2.8232,10.3134,13.954,6.7,-6.6
2801.0,200101.0,3.6473,43.9889,21.5762,20.102,15.3216,2.1535,4.5507,-25.06,16.21
2801.0,200102.0,-5.5975,-14.684,-3.2647,-0.6369,-16.1367,-0.7728,1.2034,12.51,12.22
2801.0,200103.0,-3.2095,-11.7902,-3.0353,-2.9495,-12.2313,-3.3908,-2.4861,8.35,-7.65
2801.0,200104.0,5.6458,11.4306,4.5794,3.0459,14.8291,7.3559,5.9413,-7.97,9.87
2801.0,200105.0,0.8199,7.5188,7.3479,9.0744,2.3658,3.0852,3.0346,2.12,3.63
2801.0,200106.0,-3.0852,1.6936,3.5947,1.8391,-0.1552,-1.5537,-0.9601,0.35,0.5
2801.0,200107.0,-1.677,-8.01,-3.3206,-0.7438,-4.2037,-0.7335,-0.8442,5.47,1.28
2801.0,200108.0,-5.6275,-7.4087,-3.0609,-1.962,-7.0658,-2.7453,-5.5504,5.54,-3.92
2801.0,200109.0,-9.4069,-17.818,-12.363,-11.4833,-14.3973,-11.6815,-14.9233,11.53,-4.91
2801.0,200110.0,-1.2618,14.2901,7.6909,5.5391,10.5328,4.3531,3.0095,-8.41,14.8
2801.0,200111.0,6.7093,9.9647,7.8462,6.9859,11.1516,7.9855,11.2047,-8.58,-3.14
2801.0,200112.0,1.3451,8.9428,6.874,5.9272,3.7679,5.4122,4.1906,-0.02,1.72
2801.0,200201.0,-1.3039,-3.573,2.2058,6.4108,-2.6502,-0.6548,-0.6218,3.69,1.54
2801.0,200202.0,1.7276,-9.3394,-3.0341,-2.1507,-4.507,-0.1973,-2.0332,6.76,-0.09
2801.0,200203.0,3.1968,8.3422,8.2428,8.6284,7.7757,7.0739,7.5482,-1.67,2.83
2801.0,200204.0,-2.6137,-6.5257,1.2483,4.1028,-5.1407,-1.8905,-3.6216,7.96,2.06
2801.0,200205.0,0.497,-8.366,-2.413,0.5951,-3.1928,-1.7767,-2.5599,2.97,-2.68
2801.0,200206.0,-4.9958,-11.1503,-5.4064,-4.5569,-10.8327,-6.7227,-9.2308,6.15,-3.37
2801.0,200207.0,-8.6729,-14.9955,-13.0708,-10.6101,-8.7553,-9.3483,-13.9265,3.34,1.5
2801.0,200208.0,1.2586,-0.3433,0.5034,0.1741,-0.1817,1.5333,3.8511,1.77,1.38
2801.0,200209.0,-8.6165,-10.3306,-8.1177,-7.707,-9.1383,-10.2448,-13.4468,9.09,-1.85
2801.0,200210.0,4.9689,8.1278,4.7127,2.7193,7.7286,4.7328,1.6834,-5.3,7.52
2801.0,200211.0,4.6154,17.836,13.0131,11.3655,8.4674,8.747,11.3946,-16.17,0.21
